LSOA11CD,asian(%),black(%),mixed(%),white(%),other(%),Heterogeneity index
E01003139,18.45042678923178,19.17268548916612,7.091267235718976,48.588312541037425,6.6973079448457,0.6836025762126707
E01003140,23.822163238221634,26.542800265428003,5.706702057067021,37.49170537491705,6.436629064366291,0.7248359678721155
E01003148,5.340599455040872,17.71117166212534,7.84741144414169,65.28610354223433,3.8147138964577656,0.531938317160273
E01003149,10.852272727272727,14.71590909090909,8.409090909090908,61.81818181818181,4.204545454545454,0.5755791580578513
E01003150,5.92478104070067,25.75991756826378,10.767645543534261,51.31375579598145,6.233900051519836,0.6513418382202856
E01003152,10.062893081761008,12.840670859538783,8.438155136268344,63.83647798742138,4.821802935010482,0.5564307187215696
E01003154,7.461191787681522,27.791687531296944,10.615923885828742,47.67150726089134,6.459689534301452,0.6744954687915699
E01003156,6.728971962616822,17.07165109034268,8.53582554517134,65.60747663551402,2.0560747663551404,0.5281850913713959
E01003158,4.305043050430505,4.243542435424354,5.166051660516605,83.27183271832719,3.013530135301353,0.299349137402813
E01003162,4.889844169801182,42.61149919398173,9.618484685652874,32.72434175174637,10.15583019881784,0.6893810882675906
E01003163,10.638297872340425,13.954943679599499,5.569461827284105,62.89111389236546,6.9461827284105135,0.5657525599114037
E01003165,7.897934386391252,19.927095990279465,8.50546780072904,59.902794653705946,3.766707168894289,0.5865657605092947
E01003172,4.3076923076923075,41.84615384615385,7.948717948717948,41.12820512820513,4.769230769230769,0.6452886259040105
E01003174,5.550098231827112,47.69155206286837,7.318271119842828,28.094302554027507,11.345776031434184,0.6723138709515557
E01003180,6.695869837296621,30.663329161451813,9.0738423028786,48.99874843554443,4.5682102628285355,0.6510845064465751
E01003182,4.868494683827644,28.483491885842195,8.953553441522104,53.10576385002798,4.588696138780078,0.6243544043923519
E01003184,5.704225352112676,39.225352112676056,8.732394366197182,38.16901408450704,8.169014084507042,0.6828972426105931
E01003185,3.012987012987013,32.20779220779221,7.532467532467532,51.42857142857142,5.818181818181818,0.621809276437848
E01003189,6.730769230769231,39.19683257918552,7.1832579185520355,43.495475113122176,3.3936651583710407,0.6463332548473618
E01003190,11.73931808372896,40.181268882175225,8.80448856279672,31.808372895986185,7.466551575312905,0.7102613044378037
E01003197,10.513595166163142,36.374622356495465,8.6404833836858,40.42296072507553,4.04833836858006,0.6841288414673106
E01003205,11.76046176046176,32.106782106782106,7.936507936507936,43.722943722943725,4.473304473304474,0.683615166299149
E01003209,7.37618545837724,31.928345626975762,9.272918861959958,47.04952581664911,4.373024236037935,0.6607404388847004
E01003211,5.323925593329057,16.677357280307888,8.402822322001283,63.88710711994868,5.708787684413085,0.550876143446503
E01003226,5.715841045182363,14.37125748502994,9.580838323353294,65.323897659227,5.008165487207403,0.5376710329526526
E01003228,4.50507614213198,10.279187817258883,8.312182741116752,74.93654822335026,1.967005076142132,0.41855948362493245
E01003230,5.31328320802005,25.764411027568922,7.819548872180452,57.14285714285714,3.9598997493734336,0.5965831872915371
E01003250,17.692307692307693,18.24175824175824,6.197802197802198,53.05494505494506,4.813186813186813,0.6477813790605
E01003257,7.004377736085053,22.70168855534709,7.191994996873046,60.72545340838024,2.376485303314572,0.5690618863180983
E01003264,8.626974483596598,25.94167679222357,7.108140947752125,54.434993924665854,3.8882138517618468,0.622379227819863
