LSOA_name,Total_POI_count,pub,cafe,fast_food,school,bus_stop,post_box,restaurant,telephone,supermarket,convenience
E01002281,14,1.0,1,1,0,10,1,0.0,0.0,0.0,0
E01002075,14,0.0,0,0,1,8,3,0.0,1.0,0.0,1
E01002972,14,2.0,0,2,1,3,3,2.0,0.0,1.0,0
E01001950,13,0.0,3,1,2,2,2,1.0,1.0,0.0,1
E01002071,13,0.0,0,1,1,4,1,1.0,1.0,1.0,3
E01002548,13,1.0,0,1,0,9,1,1.0,0.0,0.0,0
E01003471,13,0.0,0,0,1,8,2,0.0,0.0,1.0,1
E01004705,13,2.0,3,1,0,1,1,2.0,1.0,0.0,2
E01002110,13,0.0,0,0,0,8,4,0.0,0.0,0.0,1
E01001162,13,0.0,0,0,4,6,3,0.0,0.0,0.0,0
E01001719,13,1.0,2,1,0,4,1,0.0,1.0,0.0,3
E01003878,13,0.0,0,0,3,6,4,0.0,0.0,0.0,0
E01003321,13,1.0,1,1,2,7,0,0.0,0.0,1.0,0
E01000407,13,0.0,0,0,1,9,3,0.0,0.0,0.0,0
E01003358,13,0.0,0,0,1,4,2,3.0,2.0,0.0,1
E01000344,13,1.0,0,1,0,6,1,2.0,0.0,0.0,2
E01002263,13,1.0,0,0,4,7,1,0.0,0.0,0.0,0
E01001185,13,1.0,0,0,3,5,3,0.0,1.0,0.0,0
E01002407,13,0.0,0,1,0,9,1,0.0,0.0,0.0,2
E01001930,13,2.0,0,0,0,8,1,2.0,0.0,0.0,0
E01000574,13,1.0,0,2,0,4,2,1.0,1.0,0.0,2
E01003264,13,0.0,0,1,0,8,3,0.0,0.0,1.0,0
E01000223,13,0.0,0,0,1,12,0,0.0,0.0,0.0,0
E01002564,13,1.0,0,1,0,4,3,0.0,1.0,0.0,3
E01002485,13,0.0,1,0,0,7,2,2.0,0.0,0.0,1
E01001231,13,0.0,1,0,0,3,5,2.0,0.0,0.0,2
E01004614,13,0.0,1,0,0,3,1,2.0,2.0,0.0,4
E01002861,13,1.0,3,0,2,2,2,3.0,0.0,0.0,0
E01003122,13,0.0,3,4,0,2,1,0.0,1.0,0.0,2
E01002568,13,0.0,0,1,0,8,2,0.0,1.0,1.0,0
E01001337,13,0.0,0,0,0,9,4,0.0,0.0,0.0,0
E01004061,13,1.0,0,1,2,3,0,4.0,1.0,0.0,1
E01000673,13,0.0,0,0,0,11,2,0.0,0.0,0.0,0
E01033082,13,2.0,1,1,1,6,1,1.0,0.0,0.0,0
E01001026,13,0.0,0,0,1,8,2,0.0,0.0,0.0,2
E01004406,13,0.0,2,1,1,4,2,0.0,0.0,0.0,3
E01000915,13,1.0,4,0,2,0,2,0.0,3.0,0.0,1
E01002729,13,2.0,2,0,2,4,1,0.0,0.0,0.0,2
E01002350,13,1.0,0,0,0,9,2,1.0,0.0,0.0,0
E01002253,13,0.0,0,0,2,9,2,0.0,0.0,0.0,0
E01000287,13,0.0,1,1,1,8,0,0.0,0.0,0.0,2
E01002798,13,3.0,0,1,0,5,2,0.0,1.0,0.0,1
